timestamp,worker_id,variant_id,variant_name,batch_size
1752927900,2722,6598,alexnet,128
1752927900,2722,6598,alexnet,128
1752927900,2722,6598,alexnet,128
1752927900,2722,6598,alexnet,128
1752927900,2722,6598,alexnet,128
1752927900,2722,6598,alexnet,128
1752927900,2722,6598,alexnet,128
1752927900,2722,6598,alexnet,128
1752927900,2722,6598,alexnet,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,6598,alexnet,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,8360,resnet18,128
1752927901,2722,8360,resnet18,128
1752927901,2722,8360,resnet18,128
1752927901,2722,8360,resnet18,128
1752927901,2722,8360,resnet18,128
1752927901,2722,8360,resnet18,128
1752927901,2722,8360,resnet18,128
1752927901,2722,8360,resnet18,128
1752927901,2722,8360,resnet18,128
1752927901,2722,8360,resnet18,128
1752927901,2722,8360,resnet18,128
1752927901,2722,8360,resnet18,128
1752927901,2722,8360,resnet18,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,6598,alexnet,128
1752927901,2722,4938,squeezenet1_1,128
1752927901,2722,8360,resnet18,128
1752927902,2722,4938,squeezenet1_1,128
1752927902,2722,6598,alexnet,128
1752927902,2722,8360,resnet18,128
1752927902,2722,4938,squeezenet1_1,128
1752927902,2722,4938,squeezenet1_1,128
1752927902,2722,8360,resnet18,128
1752927902,2722,4938,squeezenet1_1,128
1752927902,2722,6598,alexnet,128
1752927903,2722,4938,squeezenet1_1,128
1752927903,2722,8360,resnet18,128
1752927903,2722,4938,squeezenet1_1,128
1752927903,2722,6598,alexnet,128
1752927904,2722,8360,resnet18,128
1752927904,2722,4938,squeezenet1_1,128
1752927904,2722,4938,squeezenet1_1,128
1752927904,2722,8360,resnet18,128
1752927904,2722,6598,alexnet,128
1752927904,2722,4938,squeezenet1_1,128
1752927905,2722,8360,resnet18,128
1752927905,2722,4938,squeezenet1_1,128
1752927905,2722,6598,alexnet,128
1752927905,2722,4938,squeezenet1_1,128
1752927905,2722,8360,resnet18,128
1752927905,2722,4938,squeezenet1_1,128
1752927905,2722,6598,alexnet,128
1752927906,2722,8360,resnet18,128
1752927906,2722,4938,squeezenet1_1,128
1752927906,2722,8360,resnet18,128
1752927906,2722,4938,squeezenet1_1,128
1752927906,2722,6598,alexnet,128
1752927906,2722,4938,squeezenet1_1,128
1752927906,2722,8360,resnet18,128
1752927906,2722,4938,squeezenet1_1,128
1752927907,2722,6598,alexnet,128
1752927907,2722,4938,squeezenet1_1,128
1752927907,2722,8360,resnet18,128
1752927907,2722,4938,squeezenet1_1,128
1752927907,2722,6598,alexnet,128
1752927907,2722,8360,resnet18,128
1752927907,2722,4938,squeezenet1_1,128
1752927907,2722,4938,squeezenet1_1,128
1752927907,2722,8360,resnet18,128
1752927908,2722,6598,alexnet,128
1752927908,2722,4938,squeezenet1_1,128
1752927908,2722,8360,resnet18,128
1752927908,2722,4938,squeezenet1_1,128
1752927908,2722,6598,alexnet,128
1752927908,2722,8360,resnet18,128
1752927908,2722,4938,squeezenet1_1,128
1752927908,2722,4938,squeezenet1_1,128
1752927908,2722,8360,resnet18,128
1752927908,2722,6598,alexnet,128
1752927908,2722,4938,squeezenet1_1,128
1752927909,2722,8360,resnet18,128
1752927909,2722,4938,squeezenet1_1,128
1752927909,2722,6598,alexnet,128
1752927909,2722,4938,squeezenet1_1,128
1752927909,2722,8360,resnet18,128
1752927909,2722,4938,squeezenet1_1,128
1752927909,2722,8360,resnet18,128
1752927909,2722,4938,squeezenet1_1,128
1752927909,2722,6598,alexnet,128
1752927910,2722,4938,squeezenet1_1,128
1752927910,2722,8360,resnet18,128
1752927910,2722,4938,squeezenet1_1,128
